Home,Score,Away,Year
Cameroon ,2–1 (a.e.t.), Colombia,1990
Czechoslovakia ,4–1, Costa Rica,1990
Brazil ,0–1, Argentina,1990
West Germany ,2–1, Netherlands,1990
Republic of Ireland ,0–0 (a.e.t.), Romania,1990
Italy ,2–0, Uruguay,1990
Spain ,1–2 (a.e.t.), Yugoslavia,1990
England ,1–0 (a.e.t.), Belgium,1990
Argentina ,0–0 (a.e.t.), Yugoslavia,1990
Republic of Ireland ,0–1, Italy,1990
Czechoslovakia ,0–1, West Germany,1990
Cameroon ,2–3 (a.e.t.), England,1990
Argentina ,1–1 (a.e.t.), Italy,1990
West Germany ,1–1 (a.e.t.), England,1990
Italy ,2–1, England,1990
West Germany ,1–0, Argentina,1990
